activity_id,user_id,department,user_role,system_name,privileged_access,successful_logins,failed_logins,after_hours_events,sensitive_records_accessed,distinct_locations,primary_country,activity_timestamp,synthetic_anomaly_label
A000001,U0231,Sales,Standard User,HRIS,0,12,1,0,184,1,Sri Lanka,2026-08-28T22:32,0
A000002,U0860,Information Technology,Contractor,DEVOPS,0,9,2,0,56,1,Sri Lanka,2026-07-02T20:13,0
A000003,U0147,Legal,Standard User,CRM-CLOUD,0,7,3,1,92,1,India,2026-07-01T07:43,0
A000004,U0132,Operations,Standard User,EMAIL,0,9,1,0,13121,2,Sri Lanka,2026-08-20T19:28,1
A000005,U0180,Procurement,Standard User,PAYMENTS,0,12,0,1,40,1,Sri Lanka,2026-07-17T04:28,0
A000006,U0225,Legal,Standard User,DATA-WAREHOUSE,0,2,3,1,410,1,Sri Lanka,2026-08-21T03:53,0
A000007,U0573,Customer Support,Contractor,DATA-WAREHOUSE,0,25,1,1,438,1,United Kingdom,2026-06-28T11:40,0
A000008,U0334,Legal,Finance Analyst,DATA-WAREHOUSE,0,22,3,0,409,1,United Kingdom,2026-08-07T14:45,0
A000009,U0363,Customer Support,Support Agent,CUSTOMER-PORTAL,0,17,1,1,53,1,Sri Lanka,2026-06-17T15:50,0
A000010,U0073,Sales,Standard User,HRIS,0,9,2,0,245,1,United States,2026-08-14T02:17,0
A000011,U0635,Human Resources,Support Agent,ERP-PROD,0,11,0,0,42,1,Sri Lanka,2026-08-22T09:09,0
A000012,U0288,Sales,Finance Analyst,EMAIL,0,20,3,1,92,2,Sri Lanka,2026-08-17T14:43,0
A000013,U0169,Customer Support,Standard User,CRM-CLOUD,0,5,0,7,129,1,India,2026-07-17T06:08,0
A000014,U0447,Operations,Developer,DEVOPS,0,10,2,0,49,2,Sri Lanka,2026-08-20T03:42,0
A000015,U0380,Procurement,Database Administrator,DATA-WAREHOUSE,1,24,1,0,262,1,Sri Lanka,2026-06-05T01:48,0
A000016,U0225,Human Resources,Developer,CUSTOMER-PORTAL,0,11,0,3,35,1,Germany,2026-07-29T08:51,0
A000017,U0638,Procurement,Database Administrator,FILE-SHARE,1,12,1,0,38,2,Sri Lanka,2026-06-13T21:27,0
A000018,U0236,Sales,Contractor,FILE-SHARE,0,7,5,1,172,1,Sri Lanka,2026-06-10T18:00,0
A000019,U0865,Customer Support,Developer,EMAIL,0,8,1,0,43,1,United Kingdom,2026-08-31T20:55,0
A000020,U0191,Customer Support,Contractor,ERP-PROD,0,8,1,1,72,1,Sri Lanka,2026-07-21T02:21,0
