control_id,control_name,control_domain,control_type,control_owner,test_frequency,automated_control,design_effectiveness,operating_effectiveness,sample_size,failed_samples,last_test_date,next_test_date,linked_risk_id,deficiency_severity,test_status
C0001,Incident Response Control 0001,Incident Response,Detective,R. Gunawardena,Continuous,1,Effective,Needs Improvement,10,2,2025-04-10,2025-05-10,R04132,Low,Overdue
C0002,Incident Response Control 0002,Incident Response,Detective,T. Karunaratne,Quarterly,0,Effective,Ineffective,40,9,2026-01-18,2026-04-18,R01913,Low,Overdue
C0003,Access Control Control 0003,Access Control,Preventive,M. Wijesinghe,Quarterly,0,Effective,Needs Improvement,30,11,2026-06-28,2026-09-26,R00116,Low,Scheduled
C0004,Access Control Control 0004,Access Control,Corrective,A. Perera,Monthly,1,Effective,Needs Improvement,20,8,2026-05-30,2026-06-29,R04925,Medium,Overdue
C0005,Data Protection Control 0005,Data Protection,Preventive,D. Senanayake,Continuous,0,Effective,Effective,5,0,2026-07-14,2026-08-13,R02274,None,Overdue
C0006,Change Management Control 0006,Change Management,Preventive,A. Perera,Quarterly,1,Effective,Effective,40,0,2025-09-19,2025-12-18,R04314,None,Overdue
C0007,Incident Response Control 0007,Incident Response,Preventive,A. Perera,Quarterly,0,Effective,Needs Improvement,40,11,2026-05-13,2026-08-11,R02922,Low,Overdue
C0008,Data Protection Control 0008,Data Protection,Preventive,T. Karunaratne,Continuous,1,Effective,Not Tested,40,4,2025-05-16,2025-06-15,R04475,High,Overdue
C0009,Security Awareness Control 0009,Security Awareness,Detective,R. Gunawardena,Continuous,1,Effective,Needs Improvement,30,4,2025-04-18,2025-05-18,R03436,Medium,Overdue
C0010,Business Continuity Control 0010,Business Continuity,Detective,N. Silva,Annual,1,Needs Improvement,Effective,30,0,2026-07-11,2027-07-11,R01946,None,Scheduled
C0011,Incident Response Control 0011,Incident Response,Detective,N. Silva,Continuous,0,Effective,Effective,15,0,2026-05-20,2026-06-19,R01270,None,Overdue
C0012,Change Management Control 0012,Change Management,Preventive,N. Silva,Quarterly,1,Effective,Not Tested,5,2,2025-11-28,2026-02-26,R02658,Low,Overdue
